UNICODE	REP	ASCII	DESC	ORG
FF4B	ï½‹	k	FULLWIDTH LATIN SMALL LETTER K 	22156
039A	Îš	K	GREEK CAPITAL LETTER KAPPA 	799
004B	K	K	LATIN CAPITAL LETTER K 	36
1E30	á¸°	K	LATIN CAPITAL LETTER K WITH ACUTE 	5532
01E8	Ç¨	K	LATIN CAPITAL LETTER K WITH CARON 	400
0136	Ä¶	K	LATIN CAPITAL LETTER K WITH CEDILLA 	222
2C69	â±©	K	LATIN CAPITAL LETTER K WITH DESCENDER 	6804
A742	ê�‚	K	LATIN CAPITAL LETTER K WITH DIAGONAL STROKE 	9904
1E32	á¸²	K	LATIN CAPITAL LETTER K WITH DOT BELOW 	5534
0198	Æ˜	K	LATIN CAPITAL LETTER K WITH HOOK 	320
1E34	á¸´	K	LATIN CAPITAL LETTER K WITH LINE BELOW 	5536
A7A2	êž¢	K	LATIN CAPITAL LETTER K WITH OBLIQUE STROKE 	9998
A740	ê�€	K	LATIN CAPITAL LETTER K WITH STROKE 	9902
A744	ê�„	K	LATIN CAPITAL LETTER K WITH STROKE AND DIAGONAL STROKE 	9906
1D0B	á´‹	K	LATIN LETTER SMALL CAPITAL K 	5247
006B	k	k	LATIN SMALL LETTER K 	66
1E31	á¸±	k	LATIN SMALL LETTER K WITH ACUTE 	5533
01E9	Ç©	k	LATIN SMALL LETTER K WITH CARON 	401
0137	Ä·	k	LATIN SMALL LETTER K WITH CEDILLA 	223
2C6A	â±ª	k	LATIN SMALL LETTER K WITH DESCENDER 	6805
A743	ê�ƒ	k	LATIN SMALL LETTER K WITH DIAGONAL STROKE 	9905
1E33	á¸³	k	LATIN SMALL LETTER K WITH DOT BELOW 	5535
0199	Æ™	k	LATIN SMALL LETTER K WITH HOOK 	321
1E35	á¸µ	k	LATIN SMALL LETTER K WITH LINE BELOW 	5537
A7A3	êž£	k	LATIN SMALL LETTER K WITH OBLIQUE STROKE 	9999
1D84	á¶„	k	LATIN SMALL LETTER K WITH PALATAL HOOK 	5368
A741	ê��	k	LATIN SMALL LETTER K WITH STROKE 	9903
A745	ê�…	k	LATIN SMALL LETTER K WITH STROKE AND DIAGONAL STROKE 	9907
0138	Ä¸	k	LATIN SMALL LETTER KRA 	224
2096	â‚–	k	LATIN SUBSCRIPT SMALL LETTER K 	6098
1DDE	á·ž	L	COMBINING LATIN LETTER SMALL CAPITAL L 	5458
1DDD	á·�	l	COMBINING LATIN SMALL LETTER L 	5457
FF2C	ï¼¬	L	FULLWIDTH LATIN CAPITAL LETTER L 	22127
FF4C	ï½Œ	l	FULLWIDTH LATIN SMALL LETTER L 	22157
0196	Æ–	L	LATIN CAPITAL LETTER IOTA 	318
004C	L	L	LATIN CAPITAL LETTER L 	37
0139	Ä¹	L	LATIN CAPITAL LETTER L WITH ACUTE 	225
023D	È½	L	LATIN CAPITAL LETTER L WITH BAR 	485
A7AD	êž­	L	LATIN CAPITAL LETTER L WITH BELT 	10009
013D	Ä½	L	LATIN CAPITAL LETTER L WITH CARON 	229
013B	Ä»	L	LATIN CAPITAL LETTER L WITH CEDILLA 	227
1E3C	á¸¼	L	LATIN CAPITAL LETTER L WITH CIRCUMFLEX BELOW 	5544
1E36	á¸¶	L	LATIN CAPITAL LETTER L WITH DOT BELOW 	5538
1E38	á¸¸	L	LATIN CAPITAL LETTER L WITH DOT BELOW AND MACRON 	5540
2C60	â± 	L	LATIN CAPITAL LETTER L WITH DOUBLE BAR 	6795
A748	ê�ˆ	L	LATIN CAPITAL LETTER L WITH HIGH STROKE 	9910
1E3A	á¸º	L	LATIN CAPITAL LETTER L WITH LINE BELOW 	5542
013F	Ä¿	L	LATIN CAPITAL LETTER L WITH MIDDLE DOT 	231
2C62	â±¢	L	LATIN CAPITAL LETTER L WITH MIDDLE TILDE 	6797
01C8	Çˆ	L	LATIN CAPITAL LETTER L WITH SMALL LETTER J 	368
0141	Å�	L	LATIN CAPITAL LETTER L WITH STROKE 	233
029F	ÊŸ	L	LATIN LETTER SMALL CAPITAL L 	583
1D0C	á´Œ	L	LATIN LETTER SMALL CAPITAL L WITH STROKE 	5248
006C	l	l	LATIN SMALL LETTER L 	67
013A	Äº	l	LATIN SMALL LETTER L WITH ACUTE 	226
019A	Æš	l	LATIN SMALL LETTER L WITH BAR 	322
026C	É¬	l	LATIN SMALL LETTER L WITH BELT 	532
013E	Ä¾	l	LATIN SMALL LETTER L WITH CARON 	230
013C	Ä¼	l	LATIN SMALL LETTER L WITH CEDILLA 	228
1E3D	á¸½	l	LATIN SMALL LETTER L WITH CIRCUMFLEX BELOW 	5545
0234	È´	l	LATIN SMALL LETTER L WITH CURL 	476
1E37	á¸·	l	LATIN SMALL LETTER L WITH DOT BELOW 	5539
1E39	á¸¹	l	LATIN SMALL LETTER L WITH DOT BELOW AND MACRON 	5541
2C61	â±¡	l	LATIN SMALL LETTER L WITH DOUBLE BAR 	6796
AB38	ê¬¸	l	LATIN SMALL LETTER L WITH DOUBLE MIDDLE TILDE 	10632
A749	ê�‰	l	LATIN SMALL LETTER L WITH HIGH STROKE 	9911
AB37	ê¬·	l	LATIN SMALL LETTER L WITH INVERTED LAZY S 	10631
1E3B	á¸»	l	LATIN SMALL LETTER L WITH LINE BELOW 	5543
0140	Å€	l	LATIN SMALL LETTER L WITH MIDDLE DOT 	232
AB39	ê¬¹	l	LATIN SMALL LETTER L WITH MIDDLE RING 	10633
026B	É«	l	LATIN SMALL LETTER L WITH MIDDLE TILDE 	531
1D85	á¶…	l	LATIN SMALL LETTER L WITH PALATAL HOOK 	5369
026D	É­	l	LATIN SMALL LETTER L WITH RETROFLEX HOOK 	533
A78E	êžŽ	l	LATIN SMALL LETTER L WITH RETROFLEX HOOK AND BELT 	9979
0142	Å‚	l	LATIN SMALL LETTER L WITH STROKE 	234
2097	â‚—	l	LATIN SUBSCRIPT SMALL LETTER L 	6099
2112	â„’	L	SCRIPT CAPITAL L 	6143
2113	â„“	l	SCRIPT SMALL L 	6144
2142	â…‚	L	TURNED SANS-SERIF CAPITAL L 	6182
01C7	Ç‡	LJ	LATIN CAPITAL LETTER LJ 	367
01C9	Ç‰	lj	LATIN SMALL LETTER LJ 	369
15F0	á—°	M	CANADIAN SYLLABICS CARRIER GO 	4018
13B7	áŽ·	M	CHEROKEE LETTER LU 	3460
1DDF	á·Ÿ	M	COMBINING LATIN LETTER SMALL CAPITAL M 	5459
036B	Í«	m	COMBINING LATIN SMALL LETTER M 	764
FF2D	ï¼­	M	FULLWIDTH LATIN CAPITAL LETTER M 	22128
FF4D	ï½�	m	FULLWIDTH LATIN SMALL LETTER M 	22158
039C	Îœ	M	GREEK CAPITAL LETTER MU 	801
004D	M	M	LATIN CAPITAL LETTER M 	38
1E3E	á¸¾	M	LATIN CAPITAL LETTER M WITH ACUTE 	5546
1E40	á¹€	M	LATIN CAPITAL LETTER M WITH DOT ABOVE 	5548
1E42	á¹‚	M	LATIN CAPITAL LETTER M WITH DOT BELOW 	5550
2C6E	â±®	M	LATIN CAPITAL LETTER M WITH HOOK 	6809
1D0D	á´�	M	LATIN LETTER SMALL CAPITAL M 	5249
006D	m	m	LATIN SMALL LETTER M 	68
1E3F	á¸¿	m	LATIN SMALL LETTER M WITH ACUTE 	5547
AB3A	ê¬º	m	LATIN SMALL LETTER M WITH CROSSED-TAIL 	10634
1E41	á¹�	m	LATIN SMALL LETTER M WITH DOT ABOVE 	5549
1E43	á¹ƒ	m	LATIN SMALL LETTER M WITH DOT BELOW 	5551
0271	É±	m	LATIN SMALL LETTER M WITH HOOK 	537
1D6F	áµ¯	m	LATIN SMALL LETTER M WITH MIDDLE TILDE 	5347
1D86	á¶†	m	LATIN SMALL LETTER M WITH PALATAL HOOK 	5370
2098	â‚˜	m	LATIN SUBSCRIPT SMALL LETTER M 	6100
217F	â…¿	m	SMALL ROMAN NUMERAL ONE THOUSAND 	6242
13C1	á��	N	CHEROKEE LETTER NE 	3470
13F2	á�²	n	CHEROKEE LETTER YO 	3519
1DE1	á·¡	N	COMBINING LATIN LETTER SMALL CAPITAL N 	5461
1DE0	á· 	n	COMBINING LATIN SMALL LETTER N 	5460
2115	â„•	N	DOUBLE-STRUCK CAPITAL N 	6146
FF2E	ï¼®	N	FULLWIDTH LATIN CAPITAL LETTER N 	22129
FF4E	ï½Ž	n	FULLWIDTH LATIN SMALL LETTER N 	22159
039D	Î�	N	GREEK CAPITAL LETTER NU 	802
03B7	Î·	n	GREEK SMALL LETTER ETA 	827
1F21	á¼¡	n	GREEK SMALL LETTER ETA WITH DASIA 	5769
1F25	á¼¥	n	GREEK SMALL LETTER ETA WITH DASIA AND OXIA 	5773
1F95	á¾•	n	GREEK SMALL LETTER ETA WITH DASIA AND OXIA AND YPOGEGRAMMENI 	5875
1F27	á¼§	n	GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI 	5775
1F97	á¾—	n	GREEK SMALL LETTER ETA WITH DASIA AND PERISPOMENI AND YPOGEGRAMMENI 	5877
1F23	á¼£	n	GREEK SMALL LETTER ETA WITH DASIA AND VARIA 	5771
1F93	á¾“	n	GREEK SMALL LETTER ETA WITH DASIA AND VARIA AND YPOGEGRAMMENI 	5873
1F91	á¾‘	n	GREEK SMALL LETTER ETA WITH DASIA AND YPOGEGRAMMENI 	5871
1F75	á½µ	n	GREEK SMALL LETTER ETA WITH OXIA 	5845
1FC4	á¿„	n	GREEK SMALL LETTER ETA WITH OXIA AND YPOGEGRAMMENI 	5921
1FC6	á¿†	n	GREEK SMALL LETTER ETA WITH PERISPOMENI 	5922
1FC7	á¿‡	n	GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI 	5923
1F20	á¼ 	n	GREEK SMALL LETTER ETA WITH PSILI 	5768
1F24	á¼¤	n	GREEK SMALL LETTER ETA WITH PSILI AND OXIA 	5772
1F94	á¾”	n	GREEK SMALL LETTER ETA WITH PSILI AND OXIA AND YPOGEGRAMMENI 	5874
1F26	á¼¦	n	GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI 	5774
1F96	á¾–	n	GREEK SMALL LETTER ETA WITH PSILI AND PERISPOMENI AND YPOGEGRAMMENI 	5876
1F22	á¼¢	n	GREEK SMALL LETTER ETA WITH PSILI AND VARIA 	5770
1F92	á¾’	n	GREEK SMALL LETTER ETA WITH PSILI AND VARIA AND YPOGEGRAMMENI 	5872
1F90	á¾�	n	GREEK SMALL LETTER ETA WITH PSILI AND YPOGEGRAMMENI 	5870
03AE	Î®	n	GREEK SMALL LETTER ETA WITH TONOS 	818
1F74	á½´	n	GREEK SMALL LETTER ETA WITH VARIA 	5844
1FC2	á¿‚	n	GREEK SMALL LETTER ETA WITH VARIA AND YPOGEGRAMMENI 	5919
1FC3	á¿ƒ	n	GREEK SMALL LETTER ETA WITH YPOGEGRAMMENI 	5920
004E	N	N	LATIN CAPITAL LETTER N 	39
0143	Åƒ	N	LATIN CAPITAL LETTER N WITH ACUTE 	235
0147	Å‡	N	LATIN CAPITAL LETTER N WITH CARON 	239
0145	Å…	N	LATIN CAPITAL LETTER N WITH CEDILLA 	237
1E4A	á¹Š	N	LATIN CAPITAL LETTER N WITH CIRCUMFLEX BELOW 	5558
A790	êž�	N	LATIN CAPITAL LETTER N WITH DESCENDER 	9980
1E44	á¹„	N	LATIN CAPITAL LETTER N WITH DOT ABOVE 	5552
1E46	á¹†	N	LATIN CAPITAL LETTER N WITH DOT BELOW 	5554
01F8	Ç¸	N	LATIN CAPITAL LETTER N WITH GRAVE 	416
019D	Æ�	N	LATIN CAPITAL LETTER N WITH LEFT HOOK 	325
1E48	á¹ˆ	N	LATIN CAPITAL LETTER N WITH LINE BELOW 	5556
0220	È 	N	LATIN CAPITAL LETTER N WITH LONG RIGHT LEG 	456
A7A4	êž¤	N	LATIN CAPITAL LETTER N WITH OBLIQUE STROKE 	10000
01CB	Ç‹	N	LATIN CAPITAL LETTER N WITH SMALL LETTER J 	371
00D1	Ã‘	N	LATIN CAPITAL LETTER N WITH TILDE 	123
0274	É´	N	LATIN LETTER SMALL CAPITAL N 	540
1D0E	á´Ž	N	LATIN LETTER SMALL CAPITAL REVERSED N 	5250
006E	n	n	LATIN SMALL LETTER N 	69
0149	Å‰	n	LATIN SMALL LETTER N PRECEDED BY APOSTROPHE 	241
0144	Å„	n	LATIN SMALL LETTER N WITH ACUTE 	236
0148	Åˆ	n	LATIN SMALL LETTER N WITH CARON 	240
0146	Å†	n	LATIN SMALL LETTER N WITH CEDILLA 	238
1E4B	á¹‹	n	LATIN SMALL LETTER N WITH CIRCUMFLEX BELOW 	5559
AB3B	ê¬»	n	LATIN SMALL LETTER N WITH CROSSED-TAIL 	10635
0235	Èµ	n	LATIN SMALL LETTER N WITH CURL 	477
A791	êž‘	n	LATIN SMALL LETTER N WITH DESCENDER 	9981
1E45	á¹…	n	LATIN SMALL LETTER N WITH DOT ABOVE 	5553
1E47	á¹‡	n	LATIN SMALL LETTER N WITH DOT BELOW 	5555
01F9	Ç¹	n	LATIN SMALL LETTER N WITH GRAVE 	417
0272	É²	n	LATIN SMALL LETTER N WITH LEFT HOOK 	538
1E49	á¹‰	n	LATIN SMALL LETTER N WITH LINE BELOW 	5557
019E	Æž	n	LATIN SMALL LETTER N WITH LONG RIGHT LEG 	326
1D70	áµ°	n	LATIN SMALL LETTER N WITH MIDDLE TILDE 	5348
A7A5	êž¥	n	LATIN SMALL LETTER N WITH OBLIQUE STROKE 	10001
1D87	á¶‡	n	LATIN SMALL LETTER N WITH PALATAL HOOK 	5371
0273	É³	n	LATIN SMALL LETTER N WITH RETROFLEX HOOK 	539
00F1	Ã±	n	LATIN SMALL LETTER N WITH TILDE 	154
2099	â‚™	n	LATIN SUBSCRIPT SMALL LETTER N 	6101
207F	â�¿	n	SUPERSCRIPT LATIN SMALL LETTER N 	6078
13DB	á�›	O	CHEROKEE LETTER DV 	3496
13A7	áŽ§	O	CHEROKEE LETTER KA 	3444
13B4	áŽ´	O	CHEROKEE LETTER LE 	3457
13BE	áŽ¾	O	CHEROKEE LETTER NA 	3467
13A4	áŽ¤	o	CHEROKEE LETTER U 	3441
13EB	á�«	O	CHEROKEE LETTER WI 	3512
13EC	á�¬	O	CHEROKEE LETTER WO 	3513
1DD9	á·™	o	COMBINING LATIN SMALL LETTER ETH 	5453
0366	Í¦	o	COMBINING LATIN SMALL LETTER O 	759
FF2F	ï¼¯	O	FULLWIDTH LATIN CAPITAL LETTER O 	22130
FF4F	ï½�	o	FULLWIDTH LATIN SMALL LETTER O 	22160
039F	ÎŸ	O	GREEK CAPITAL LETTER OMICRON 	804
1F49	á½‰	O	GREEK CAPITAL LETTER OMICRON WITH DASIA 	5807
1F4D	á½�	O	GREEK CAPITAL LETTER OMICRON WITH DASIA AND OXIA 	5811
1F4B	á½‹	O	GREEK CAPITAL LETTER OMICRON WITH DASIA AND VARIA 	5809
1FF9	á¿¹	O	GREEK CAPITAL LETTER OMICRON WITH OXIA 	5967
1F48	á½ˆ	O	GREEK CAPITAL LETTER OMICRON WITH PSILI 	5806
1F4C	á½Œ	O	GREEK CAPITAL LETTER OMICRON WITH PSILI AND OXIA 	5810
1F4A	á½Š	O	GREEK CAPITAL LETTER OMICRON WITH PSILI AND VARIA 	5808
038C	ÎŒ	O	GREEK CAPITAL LETTER OMICRON WITH TONOS 	786
1FF8	á¿¸	O	GREEK CAPITAL LETTER OMICRON WITH VARIA 	5966
03A6	Î¦	O	GREEK CAPITAL LETTER PHI 	810
004F	O	O	LATIN CAPITAL LETTER O 	40
00D3	Ã“	O	LATIN CAPITAL LETTER O WITH ACUTE 	125
014E	ÅŽ	O	LATIN CAPITAL LETTER O WITH BREVE 	246
01D1	Ç‘	O	LATIN CAPITAL LETTER O WITH CARON 	377
00D4	Ã”	O	LATIN CAPITAL LETTER O WITH CIRCUMFLEX 	126
1ED0	á»�	O	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE 	5692
1ED8	á»˜	O	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW 	5700
1ED2	á»’	O	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE 	5694
1ED4	á»”	O	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE 	5696
1ED6	á»–	O	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE 	5698
00D6	Ã–	O	LATIN CAPITAL LETTER O WITH DIAERESIS 	128
022A	Èª	O	LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON 	466
022E	È®	O	LATIN CAPITAL LETTER O WITH DOT ABOVE 	470
0230	È°	O	LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON 	472
1ECC	á»Œ	O	LATIN CAPITAL LETTER O WITH DOT BELOW 	5688
0150	Å�	O	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE 	248
020C	ÈŒ	O	LATIN CAPITAL LETTER O WITH DOUBLE GRAVE 	436
00D2	Ã’	O	LATIN CAPITAL LETTER O WITH GRAVE 	124
1ECE	á»Ž	O	LATIN CAPITAL LETTER O WITH HOOK ABOVE 	5690
01A0	Æ 	O	LATIN CAPITAL LETTER O WITH HORN 	328
1EDA	á»š	O	LATIN CAPITAL LETTER O WITH HORN AND ACUTE 	5702
1EE2	á»¢	O	LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW 	5710
1EDC	á»œ	O	LATIN CAPITAL LETTER O WITH HORN AND GRAVE 	5704
1EDE	á»ž	O	LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE 	5706
1EE0	á» 	O	LATIN CAPITAL LETTER O WITH HORN AND TILDE 	5708
020E	ÈŽ	O	LATIN CAPITAL LETTER O WITH INVERTED BREVE 	438
A74A	ê�Š	O	LATIN CAPITAL LETTER O WITH LONG STROKE OVERLAY 	9912
A74C	ê�Œ	O	LATIN CAPITAL LETTER O WITH LOOP 	9914
014C	ÅŒ	O	LATIN CAPITAL LETTER O WITH MACRON 	244
1E52	á¹’	O	LATIN CAPITAL LETTER O WITH MACRON AND ACUTE 	5566
1E50	á¹�	O	LATIN CAPITAL LETTER O WITH MACRON AND GRAVE 	5564
019F	ÆŸ	O	LATIN CAPITAL LETTER O WITH MIDDLE TILDE 	327
01EA	Çª	O	LATIN CAPITAL LETTER O WITH OGONEK 	402
01EC	Ç¬	O	LATIN CAPITAL LETTER O WITH OGONEK AND MACRON 	404
00D8	Ã˜	O	LATIN CAPITAL LETTER O WITH STROKE 	129
01FE	Ç¾	O	LATIN CAPITAL LETTER O WITH STROKE AND ACUTE 	422
00D5	Ã•	O	LATIN CAPITAL LETTER O WITH TILDE 	127
1E4C	á¹Œ	O	LATIN CAPITAL LETTER O WITH TILDE AND ACUTE 	5560
1E4E	á¹Ž	O	LATIN CAPITAL LETTER O WITH TILDE AND DIAERESIS 	5562
022C	È¬	O	LATIN CAPITAL LETTER O WITH TILDE AND MACRON 	468
1D0F	á´�	O	LATIN LETTER SMALL CAPITAL O 	5251
1D10	á´�	O	LATIN LETTER SMALL CAPITAL OPEN O 	5252
006F	o	o	LATIN SMALL LETTER O 	70
00F3	Ã³	o	LATIN SMALL LETTER O WITH ACUTE 	156
014F	Å�	o	LATIN SMALL LETTER O WITH BREVE 	247
01D2	Ç’	o	LATIN SMALL LETTER O WITH CARON 	378
00F4	Ã´	o	LATIN SMALL LETTER O WITH CIRCUMFLEX 	157
1ED1	á»‘	o	LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE 	5693
1ED9	á»™	o	LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW 	5701
1ED3	á»“	o	LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE 	5695
1ED5	á»•	o	LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE 	5697
1ED7	á»—	o	LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE 	5699
00F6	Ã¶	o	LATIN SMALL LETTER O WITH DIAERESIS 	159
022B	È«	o	LATIN SMALL LETTER O WITH DIAERESIS AND MACRON 	467
022F	È¯	o	LATIN SMALL LETTER O WITH DOT ABOVE 	471
0231	È±	o	LATIN SMALL LETTER O WITH DOT ABOVE AND MACRON 	473
1ECD	á»�	o	LATIN SMALL LETTER O WITH DOT BELOW 	5689
0151	Å‘	o	LATIN SMALL LETTER O WITH DOUBLE ACUTE 	249
020D	È�	o	LATIN SMALL LETTER O WITH DOUBLE GRAVE 	437
00F2	Ã²	o	LATIN SMALL LETTER O WITH GRAVE 	155
